date,unit
1/1/2019,42140
1/2/2019,38710
1/3/2019,57460
1/4/2019,51030
1/5/2019,41140
1/6/2019,37900
1/7/2019,41380
1/8/2019,46880
1/9/2019,56640
1/10/2019,51330
1/11/2019,50440
1/12/2019,1
1/1/2020,53390
1/2/2020,54600
1/3/2020,57520
1/4/2020,49410
1/5/2020,44920
1/6/2020,49210
1/7/2020,52600
1/8/2020,45710
1/9/2020,41360
1/10/2020,39910
1/11/2020,31480
1/12/2020,37140
1/1/2021,23550
1/2/2021,24400
1/3/2021,32950
1/4/2021,42140
1/5/2021,54990
1/6/2021,49440
1/7/2021,50340
1/8/2021,54740
1/9/2021,65110
1/10/2021,46460
1/11/2021,55160
1/12/2021,57280
